Ano;Mês;Código NCM;Descrição NCM;Países;Valor FOB (US$);Quilograma Líquido
2019;6;9011110;Café não torrado, não descafeinado, em grão;África do Sul;1530432;1056945
2019;6;9011110;Café não torrado, não descafeinado, em grão;Albânia;449354;245655
2019;6;9011110;Café não torrado, não descafeinado, em grão;Alemanha;56357971;29404617
2019;6;9011110;Café não torrado, não descafeinado, em grão;Arábia Saudita;833208;443600
2019;6;9011110;Café não torrado, não descafeinado, em grão;Argélia;523749;288000
2019;6;9011110;Café não torrado, não descafeinado, em grão;Argentina;3842878;2195215
2019;6;9011110;Café não torrado, não descafeinado, em grão;Austrália;3607374;1634680
2019;6;9011110;Café não torrado, não descafeinado, em grão;Áustria;141505;64800
2019;6;9011110;Café não torrado, não descafeinado, em grão;Belarus;82120;38400
2019;6;9011110;Café não torrado, não descafeinado, em grão;Bélgica;24198330;13606505
2019;6;9011110;Café não torrado, não descafeinado, em grão;Bulgária;743136;383960
2019;6;9011110;Café não torrado, não descafeinado, em grão;Canadá;9256882;4418276
2019;6;9011110;Café não torrado, não descafeinado, em grão;Catar;67584;38400
2019;6;9011110;Café não torrado, não descafeinado, em grão;Chile;1157029;658800
2019;6;9011110;Café não torrado, não descafeinado, em grão;China;1226729;609699
2019;6;9011110;Café não torrado, não descafeinado, em grão;Chipre;378292;215933
2019;6;9011110;Café não torrado, não descafeinado, em grão;Cingapura;355493;152025
2019;6;9011110;Café não torrado, não descafeinado, em grão;Colômbia;65048;33655
2019;6;9011110;Café não torrado, não descafeinado, em grão;Coreia do Sul;5119445;2503227
2019;6;9011110;Café não torrado, não descafeinado, em grão;Coveite (Kuweit);69493;38400
2019;6;9011110;Café não torrado, não descafeinado, em grão;Croácia;2206394;1333975
2019;6;9011110;Café não torrado, não descafeinado, em grão;Dinamarca;345291;147850
2019;6;9011110;Café não torrado, não descafeinado, em grão;Egito;703235;398325
2019;6;9011110;Café não torrado, não descafeinado, em grão;Emirados Árabes Unidos;1741877;875535
2019;6;9011110;Café não torrado, não descafeinado, em grão;Eslovênia;3038348;1630150
2019;6;9011110;Café não torrado, não descafeinado, em grão;Espanha;9236472;5017933
2019;6;9011110;Café não torrado, não descafeinado, em grão;Estados Unidos;58890107;31136319
2019;6;9011110;Café não torrado, não descafeinado, em grão;Filipinas;68827;38400
2019;6;9011110;Café não torrado, não descafeinado, em grão;Finlândia;4474664;2190625
2019;6;9011110;Café não torrado, não descafeinado, em grão;França;6438522;3530480
2019;6;9011110;Café não torrado, não descafeinado, em grão;Grécia;3969807;2239949
2019;6;9011110;Café não torrado, não descafeinado, em grão;Hong Kong;819300;446315
2019;6;9011110;Café não torrado, não descafeinado, em grão;Indonésia;707204;339370
2019;6;9011110;Café não torrado, não descafeinado, em grão;Irlanda;179094;57550
2019;6;9011110;Café não torrado, não descafeinado, em grão;Israel;1137443;605550
2019;6;9011110;Café não torrado, não descafeinado, em grão;Itália;35462130;18360171
2019;6;9011110;Café não torrado, não descafeinado, em grão;Japão;23558481;11438874
2019;6;9011110;Café não torrado, não descafeinado, em grão;Jordânia;2118247;1132800
2019;6;9011110;Café não torrado, não descafeinado, em grão;Letônia;319648;155180
2019;6;9011110;Café não torrado, não descafeinado, em grão;Líbano;3231063;1844325
2019;6;9011110;Café não torrado, não descafeinado, em grão;Líbia;34881;19200
2019;6;9011110;Café não torrado, não descafeinado, em grão;Lituânia;132600;57525
2019;6;9011110;Café não torrado, não descafeinado, em grão;Malásia;1866833;840215
2019;6;9011110;Café não torrado, não descafeinado, em grão;Marrocos;72849;38400
2019;6;9011110;Café não torrado, não descafeinado, em grão;México;3291519;2256628
2019;6;9011110;Café não torrado, não descafeinado, em grão;Montenegro;362771;204000
2019;6;9011110;Café não torrado, não descafeinado, em grão;Noruega;2205989;1129085
2019;6;9011110;Café não torrado, não descafeinado, em grão;Nova Zelândia;537235;268650
2019;6;9011110;Café não torrado, não descafeinado, em grão;Omã;190397;110400
2019;6;9011110;Café não torrado, não descafeinado, em grão;Países Baixos (Holanda);4255302;2200450
2019;6;9011110;Café não torrado, não descafeinado, em grão;Paraguai;162670;107640
2019;6;9011110;Café não torrado, não descafeinado, em grão;Polônia;1247914;672775
2019;6;9011110;Café não torrado, não descafeinado, em grão;Portugal;1146843;572012
2019;6;9011110;Café não torrado, não descafeinado, em grão;Reino Unido;7786177;4613786
2019;6;9011110;Café não torrado, não descafeinado, em grão;República Dominicana;148844;91175
2019;6;9011110;Café não torrado, não descafeinado, em grão;Romênia;379874;203200
2019;6;9011110;Café não torrado, não descafeinado, em grão;Rússia;5161162;2694806
2019;6;9011110;Café não torrado, não descafeinado, em grão;Síria;1540018;917840
2019;6;9011110;Café não torrado, não descafeinado, em grão;Suécia;6161442;3200580
2019;6;9011110;Café não torrado, não descafeinado, em grão;Suíça;623944;324300
2019;6;9011110;Café não torrado, não descafeinado, em grão;Taiwan (Formosa);1446845;601996
2019;6;9011110;Café não torrado, não descafeinado, em grão;Tcheca, República;49280;19175
2019;6;9011110;Café não torrado, não descafeinado, em grão;Trinidad e Tobago;119613;58500
2019;6;9011110;Café não torrado, não descafeinado, em grão;Tunísia;1798646;1094400
2019;6;9011110;Café não torrado, não descafeinado, em grão;Turquia;11206653;6077370
2019;6;9011110;Café não torrado, não descafeinado, em grão;Ucrânia;297051;154200
2019;6;9011110;Café não torrado, não descafeinado, em grão;Uruguai;74570;43000
